Date,Open,High,Low,Close,Adj Close,Volume
06-11-2015,230.699997,233.360001,229.5,232.360001,232.360001,2445300
09-11-2015,232.990005,232.990005,224.309998,225.330002,225.330002,3850900
12-11-2015,217.850006,219,212.660004,212.940002,212.940002,2915900
13-11-2015,212.949997,212.990005,206.520004,207.190002,207.190002,3430300
16-11-2015,206.089996,214.979996,205.800003,214.309998,214.309998,2925400
17-11-2015,215.199997,216,211.399994,214,214,2148700
18-11-2015,214.5,221.380005,212.520004,221.070007,221.070007,2811900
19-11-2015,220.539993,226.190002,220.300003,221.800003,221.800003,2504400
20-11-2015,223.490005,225,213.580002,220.009995,220.009995,4400700
23-11-2015,217.350006,219.179993,214.679993,217.75,217.75,2526200
24-11-2015,215.369995,221,215,218.25,218.25,2480300
25-11-2015,221.339996,230.830002,220.380005,229.639999,229.639999,3990800
27-11-2015,231.059998,232.25,227.009995,231.610001,231.610001,1949400
03-12-2015,235.479996,237.449997,230,232.710007,232.710007,2939600
10-12-2015,224.710007,228.490005,223.639999,227.070007,227.070007,2071700
21-12-2015,231.690002,235.830002,231.080002,232.559998,232.559998,1953200
22-12-2015,234.990005,236.550003,229.630005,229.949997,229.949997,1961500
23-12-2015,232.179993,233.449997,228.130005,229.699997,229.699997,1555000
24-12-2015,230.559998,231.880005,228.279999,230.570007,230.570007,708000
28-12-2015,231.490005,231.979996,225.539993,228.949997,228.949997,1901300
29-12-2015,230.059998,237.720001,229.550003,237.190002,237.190002,2406300
30-12-2015,236.600006,243.630005,235.669998,238.089996,238.089996,3697900
31-12-2015,238.509995,243.449997,238.369995,240.009995,240.009995,2715000
04-01-2016,230.720001,231.380005,219,223.410004,223.410004,6827100
05-01-2016,226.360001,226.889999,220,223.429993,223.429993,3186800
06-01-2016,220,220.050003,215.979996,219.039993,219.039993,3779100
21-01-2016,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
22-01-2016,204.800003,205.5,199.029999,202.550003,202.550003,3124100
25-01-2016,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
26-01-2016,196.699997,197.820007,188.880005,193.559998,193.559998,4964200
27-01-2016,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
28-01-2016,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
29-01-2016,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
01-02-2016,188.759995,199.520004,182.75,196.940002,196.940002,5297600
03-02-2016,183.589996,183.940002,170.179993,173.479996,173.479996,7931400
04-02-2016,170.699997,175.979996,166.990005,175.330002,175.330002,4385400
12-02-2016,155,157.009995,143.699997,151.039993,151.039993,7235800
17-02-2016,159,169.339996,156.679993,168.679993,168.679993,5825200
18-02-2016,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
19-02-2016,163.660004,167.490005,162.5,166.580002,166.580002,2959400
22-02-2016,170.119995,178.910004,169.850006,177.740005,177.740005,5060100
23-02-2016,176.160004,181.729996,173.679993,177.210007,177.210007,5984400
24-02-2016,172.75,179.5,167.839996,179,179,5395600
25-02-2016,178.649994,188.520004,175.199997,187.429993,187.429993,5750700
26-02-2016,188.699997,192,185,190.339996,190.339996,6065100
29-02-2016,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
01-03-2016,194.25,195.949997,182.699997,186.350006,186.350006,6712200
02-03-2016,183.729996,188.520004,181.5,188.339996,188.339996,4862400
07-03-2016,197.679993,209.699997,197.399994,205.289993,205.289993,5329400
08-03-2016,203.5,207.5,202.199997,202.600006,202.600006,4178700
09-03-2016,204.520004,209.369995,202.789993,208.720001,208.720001,3208600
10-03-2016,210,213.289993,200.669998,205.179993,205.179993,5192500
11-03-2016,207.929993,209.419998,205.330002,207.5,207.5,3343100
14-03-2016,212.649994,216.720001,210.639999,215.149994,215.149994,4065700
15-03-2016,214.270004,218.970001,211.5,218.339996,218.339996,3180500
18-03-2016,229.100006,234.479996,228.059998,232.740005,232.740005,4711800
21-03-2016,235.339996,239.880005,235,238.320007,238.320007,5307800
22-03-2016,237.210007,238.990005,232.559998,234.240005,234.240005,4316000
23-03-2016,232.369995,234.729996,222.029999,222.580002,222.580002,4948800
24-03-2016,215.779999,228.889999,215,227.75,227.75,4960900
28-03-2016,231.610001,234.809998,225,230.259995,230.259995,3925700
30-03-2016,235.089996,235.5,226.5,226.889999,226.889999,4033000
31-03-2016,229.339996,237.419998,225.009995,229.770004,229.770004,8012900
01-04-2016,244.830002,247.899994,233.25,237.589996,237.589996,15997500
04-04-2016,249.119995,252.119995,243.639999,246.990005,246.990005,13475300
06-04-2016,253.970001,267.73999,253.449997,265.420013,265.420013,11705500
07-04-2016,266.450012,269.339996,254.509995,257.200012,257.200012,8856200
08-04-2016,260.5,260.820007,248.020004,250.070007,250.070007,7363900
11-04-2016,251,258.98999,245.300003,249.919998,249.919998,9161700
14-04-2016,253,256.839996,251.050003,251.860001,251.860001,4132200
15-04-2016,251.309998,254.600006,249.119995,254.509995,254.509995,3752400
18-04-2016,252.229996,258.309998,251.660004,253.880005,253.880005,4271400
19-04-2016,253.119995,254.369995,241.25,247.369995,247.369995,6357500
20-04-2016,246.259995,253.660004,241.5,249.970001,249.970001,5194100
21-04-2016,248.990005,250.899994,246.910004,248.289993,248.289993,2783100
22-04-2016,248.889999,254,245.710007,253.75,253.75,3786300
25-04-2016,253.009995,257.380005,250.759995,251.820007,251.820007,3670300
26-04-2016,252.050003,255.729996,249.389999,253.740005,253.740005,3223800
27-04-2016,252.75,255,249.399994,251.470001,251.470001,3205800
28-04-2016,249.850006,253.429993,247.440002,247.710007,247.710007,2519000
29-04-2016,248.139999,248.429993,237.809998,240.759995,240.759995,5413800
02-05-2016,241.5,243.190002,234.820007,241.800003,241.800003,3843900
03-05-2016,237.360001,238.910004,231.619995,232.320007,232.320007,4302200
04-05-2016,230.289993,234.460007,220.399994,222.559998,222.559998,8700500
05-05-2016,228.460007,228.639999,209.789993,211.529999,211.529999,11254800
06-05-2016,210.869995,216.369995,208.110001,214.929993,214.929993,5685200
09-05-2016,215.720001,216.149994,206.800003,208.919998,208.919998,4776400
10-05-2016,207.550003,209.470001,205,208.690002,208.690002,4070600
11-05-2016,207.589996,215.479996,206.050003,208.960007,208.960007,5161900
12-05-2016,211.440002,211.669998,203.660004,207.279999,207.279999,3650500
13-05-2016,207.779999,211.199997,206.699997,207.610001,207.610001,2822800
16-05-2016,208.149994,213.149994,207.919998,208.289993,208.289993,2949400
17-05-2016,209.050003,209.820007,204.020004,204.660004,204.660004,2843600
18-05-2016,209.149994,215.309998,207.75,211.169998,211.169998,5617500
19-05-2016,213.619995,216.789993,207.300003,215.210007,215.210007,6866300
20-05-2016,216.990005,220.550003,216.350006,220.279999,220.279999,9007100
23-05-2016,219.869995,222.600006,215.860001,216.220001,216.220001,5102500
24-05-2016,216.600006,218.740005,215.179993,217.910004,217.910004,3013800
25-05-2016,217.910004,221.360001,216.509995,219.580002,219.580002,3126800
26-05-2016,220.5,225.259995,219.050003,225.119995,225.119995,4072400
27-05-2016,224.990005,225.929993,220.75,223.039993,223.039993,3650300
31-05-2016,223.039993,224.75,221.5,223.229996,223.229996,2789000
01-06-2016,221.479996,222.399994,216.889999,219.559998,219.559998,2982700
02-06-2016,219.589996,219.910004,217.110001,218.960007,218.960007,2032800
03-06-2016,220,221.940002,218.009995,218.990005,218.990005,2229000
06-06-2016,218,220.899994,215.449997,220.679993,220.679993,2249500
07-06-2016,222.240005,234.440002,221.520004,232.339996,232.339996,6213600
08-06-2016,233.800003,240.850006,232.610001,235.520004,235.520004,5972000
09-06-2016,234.979996,235.330002,227.059998,229.360001,229.360001,4492100
10-06-2016,227.389999,227.970001,218.419998,218.789993,218.789993,6026600
13-06-2016,219.5,225.770004,217.660004,217.869995,217.869995,4193000
14-06-2016,218.880005,222.199997,212.529999,214.960007,214.960007,3580200
15-06-2016,216.949997,221.899994,215.130005,217.699997,217.699997,2908500
16-06-2016,217.419998,218.039993,213.5,217.929993,217.929993,2440300
17-06-2016,217.809998,219.990005,214.5,215.470001,215.470001,3112600
20-06-2016,219.5,223.75,218.229996,219.699997,219.699997,3555500
21-06-2016,220.679993,222.570007,218.809998,219.610001,219.610001,4529000
28-06-2016,201.889999,204.050003,199.410004,201.789993,201.789993,6212400
29-06-2016,205.130005,211.779999,203,210.190002,210.190002,5994900
30-06-2016,212.970001,213.5,209.020004,212.279999,212.279999,4843100
01-07-2016,206.139999,218.240005,206,216.5,216.5,5400000
06-07-2016,210,215.229996,209,214.440002,214.440002,4919900
07-07-2016,213.100006,218.119995,213.009995,215.940002,215.940002,3612000
11-07-2016,219.960007,226.779999,219.509995,224.779999,224.779999,5429800
12-07-2016,224.100006,227.5,223.220001,224.649994,224.649994,4571300
20-07-2016,226.470001,229.800003,225,228.360001,228.360001,2568500
21-07-2016,226,227.850006,219.100006,220.5,220.5,4428700
22-07-2016,221.990005,224.5,218.880005,222.270004,222.270004,2579700
25-07-2016,222.270004,231.389999,221.369995,230.009995,230.009995,4490700
26-07-2016,227.690002,230,225.300003,229.509995,229.509995,3430000
28-07-2016,227.949997,230.759995,226.600006,230.610001,230.610001,2419100
29-07-2016,230.699997,235.279999,230.240005,234.789993,234.789993,3070800
03-08-2016,227.369995,229.699997,224.210007,225.789993,225.789993,3887800
04-08-2016,225.690002,230.860001,222.050003,230.610001,230.610001,4147000
05-08-2016,230,232,227.399994,230.029999,230.029999,3205200
08-08-2016,228,229.600006,226.089996,226.160004,226.160004,2263600
09-08-2016,226.820007,231.539993,226.649994,229.080002,229.080002,2207800
10-08-2016,228.240005,229.869995,224.619995,225.649994,225.649994,2338300
15-08-2016,226.020004,229.5,224.929993,225.589996,225.589996,2034300
17-08-2016,224.330002,224.830002,222.800003,223.240005,223.240005,1787100
18-08-2016,223.820007,225.660004,222.289993,223.509995,223.509995,1714500
22-08-2016,224.169998,225.110001,222.679993,222.929993,222.929993,2065500
23-08-2016,224.320007,228.490005,222.800003,224.839996,224.839996,4784400
24-08-2016,227.050003,227.149994,222.220001,222.619995,222.619995,2570700
29-08-2016,220.149994,220.399994,215,215.199997,215.199997,3266300
30-08-2016,216.110001,216.110001,210.520004,211.339996,211.339996,3168900
01-09-2016,209.009995,211.100006,200.5,200.770004,200.770004,7943100
06-09-2016,199.020004,203.25,199,202.830002,202.830002,4390600
07-09-2016,205.5,206.5,200.710007,201.710007,201.710007,3640900
09-09-2016,199.089996,199.919998,193.699997,194.470001,194.470001,3757000
12-09-2016,195,201.369995,194.100006,198.300003,198.300003,3715200
16-09-2016,200.419998,205.699997,199,205.399994,205.399994,3107800
19-09-2016,207,209.429993,205,206.339996,206.339996,2299500
21-09-2016,206.369995,207,201.559998,205.220001,205.220001,2633500
23-09-2016,205.990005,210.179993,205.669998,207.449997,207.449997,2905200
26-09-2016,206.5,211,206.5,208.990005,208.990005,2394400
28-09-2016,207.509995,208.25,205.259995,206.270004,206.270004,2088400
29-09-2016,205.600006,207.330002,200.580002,200.699997,200.699997,2727000
06-10-2016,202.460007,204.210007,200.210007,201,201,4703400
07-10-2016,201,201.320007,195.800003,196.610001,196.610001,3493000
10-10-2016,201.350006,204.139999,199.660004,200.949997,200.949997,3316300
14-10-2016,200.660004,201.429993,196.300003,196.509995,196.509995,4269900
18-10-2016,195.990005,199.470001,193.259995,199.100006,199.100006,5680500
19-10-2016,199.740005,206.660004,198.059998,203.559998,203.559998,6991200
21-10-2016,198.600006,201.570007,197.410004,200.089996,200.089996,2943400
24-10-2016,201,203.949997,200.25,202.759995,202.759995,2751600
27-10-2016,211.339996,213.699997,201.649994,204.009995,204.009995,13093700
31-10-2016,202.490005,202.490005,195.809998,197.729996,197.729996,4692300
01-11-2016,198.039993,198.5,188.110001,190.789993,190.789993,7060000
02-11-2016,190.050003,192.699997,187.509995,188.020004,188.020004,4253400
08-11-2016,193.789993,197.490005,191.259995,194.940002,194.940002,3267600
09-11-2016,186.880005,192,183.949997,190.059998,190.059998,8173100
10-11-2016,191.050003,191.610001,180.419998,185.350006,185.350006,6750300
14-11-2016,188,188.25,178.190002,181.449997,181.449997,6552200
15-11-2016,182.779999,186.429993,182.050003,183.770004,183.770004,3902000
17-11-2016,183.490005,189.490005,182.110001,188.660004,188.660004,4887100
18-11-2016,190.649994,193,185,185.020004,185.020004,5210300
21-11-2016,185.039993,188.889999,184.410004,184.520004,184.520004,4361000
28-11-2016,195.479996,199.350006,194.550003,196.119995,196.119995,4529200
29-11-2016,195.559998,196.729996,189.5,189.570007,189.570007,4439300
30-11-2016,191,191.889999,187.5,189.399994,189.399994,3547100
02-12-2016,182.880005,184.880005,180,181.470001,181.470001,4042300
05-12-2016,182.509995,188.889999,182.509995,186.800003,186.800003,4072200
07-12-2016,186.149994,193.399994,185,193.149994,193.149994,5461900
09-12-2016,190.869995,193.839996,190.809998,192.179993,192.179993,2722500
12-12-2016,192.800003,194.419998,191.179993,192.429993,192.429993,2438900
15-12-2016,198.410004,200.740005,197.389999,197.580002,197.580002,3219600
19-12-2016,202.490005,204.449997,199.839996,202.729996,202.729996,3488100
20-12-2016,203.050003,209,202.5,208.789993,208.789993,4689100
21-12-2016,208.449997,212.229996,207.410004,207.699997,207.699997,5207600
23-12-2016,208,213.449997,207.710007,213.339996,213.339996,4670500
27-12-2016,214.880005,222.25,214.419998,219.529999,219.529999,5915700
28-12-2016,221.529999,223.800003,217.199997,219.740005,219.740005,3782500
29-12-2016,218.559998,219.199997,214.119995,214.679993,214.679993,4045000
30-12-2016,216.300003,217.5,211.679993,213.690002,213.690002,4642600
03-01-2017,214.860001,220.330002,210.960007,216.990005,216.990005,5923300
05-01-2017,226.419998,227.479996,221.949997,226.75,226.75,5911700
06-01-2017,226.929993,230.309998,225.449997,229.009995,229.009995,5527900
09-01-2017,228.970001,231.919998,228,231.279999,231.279999,3979500
10-01-2017,232,232,226.889999,229.869995,229.869995,3660000
12-01-2017,229.059998,230.699997,225.580002,229.589996,229.589996,3790200
17-01-2017,236.699997,239.960007,234.369995,235.580002,235.580002,4617500
18-01-2017,236.649994,239.710007,235.580002,238.360001,238.360001,3769000
20-01-2017,245.460007,246,243.009995,244.729996,244.729996,4204300
24-01-2017,250,254.800003,249.649994,254.610001,254.610001,4965500
25-01-2017,257.309998,258.459991,251.800003,254.470001,254.470001,5142600
27-01-2017,251.380005,253,248.520004,252.949997,252.949997,3166300
30-01-2017,252.529999,255.289993,247.100006,250.630005,250.630005,3801100
02-02-2017,248.339996,252.419998,247.710007,251.550003,251.550003,2499800
03-02-2017,251.910004,252.179993,249.679993,251.330002,251.330002,2186700
07-02-2017,258.190002,260,256.420013,257.480011,257.480011,4244800
08-02-2017,257.350006,263.359985,256.200012,262.079987,262.079987,3933000
13-02-2017,270.73999,280.790009,270.51001,280.600006,280.600006,7029600
16-02-2017,277.600006,280,268.5,268.950012,268.950012,7077300
17-02-2017,265.799988,272.890015,264.149994,272.230011,272.230011,6257100
21-02-2017,275.450012,281.399994,274.01001,277.390015,277.390015,5676700
27-02-2017,248.169998,248.360001,242.009995,246.229996,246.229996,11460800
28-02-2017,244.190002,251,243.899994,249.990005,249.990005,6078100
01-03-2017,254.179993,254.850006,249.110001,250.020004,250.020004,4809500
02-03-2017,249.710007,253.279999,248.270004,250.479996,250.479996,3351800
06-03-2017,247.910004,251.699997,247.509995,251.210007,251.210007,3355500
07-03-2017,251.919998,253.889999,248.320007,248.589996,248.589996,3459500
08-03-2017,247,250.070007,245.320007,246.869995,246.869995,3725200
09-03-2017,247.630005,248.660004,243,244.899994,244.899994,3879300
13-03-2017,244.820007,246.850006,242.779999,246.169998,246.169998,3022600
14-03-2017,246.110001,258.119995,246.020004,258,258,7598400
15-03-2017,257,261,254.270004,255.729996,255.729996,5330800
16-03-2017,262.399994,265.75,259.059998,262.049988,262.049988,7132200
20-03-2017,260.600006,264.549988,258.820007,261.920013,261.920013,3614300
21-03-2017,262.829987,264.799988,250.240005,250.679993,250.679993,6908600
22-03-2017,251.559998,255.070007,250.509995,255.009995,255.009995,4059300
24-03-2017,255.699997,263.890015,255.009995,263.160004,263.160004,5647300
28-03-2017,277.019989,280.679993,275,277.450012,277.450012,7987600
30-03-2017,278.040009,282,277.209991,277.920013,277.920013,4148400
31-03-2017,278.730011,279.679993,276.320007,278.299988,278.299988,3294600
04-04-2017,296.890015,304.809998,294.529999,303.700012,303.700012,10134600
05-04-2017,302.040009,304.880005,294.200012,295,295,7880900
06-04-2017,296.880005,301.940002,294.100006,298.700012,298.700012,5520600
10-04-2017,309.149994,313.730011,308.709991,312.390015,312.390015,7664500
11-04-2017,313.380005,313.470001,305.5,308.709991,308.709991,5724600
12-04-2017,306.339996,308.450012,296.320007,296.839996,296.839996,6050700
13-04-2017,296.700012,307.390015,295.299988,304,304,9284600
19-04-2017,302.459991,306.619995,302.109985,305.519989,305.519989,3898000
20-04-2017,306.51001,309.149994,300.230011,302.51001,302.51001,6149400
21-04-2017,302,306.399994,300.420013,305.600006,305.600006,4509800
24-04-2017,309.220001,310.549988,306.019989,308.029999,308.029999,5083500
25-04-2017,308,313.980011,305.859985,313.790009,313.790009,6737700
01-05-2017,314.880005,327.25,314.809998,322.829987,322.829987,8829600
02-05-2017,324,327.660004,316.559998,318.890015,318.890015,5382800
03-05-2017,317.670013,321.529999,310.450012,311.019989,311.019989,7133400
04-05-2017,307.440002,307.769989,290.76001,295.459991,295.459991,14152000
05-05-2017,298,308.549988,296.799988,308.350006,308.350006,8177300
08-05-2017,310.899994,313.790009,305.820007,307.190002,307.190002,7006500
12-05-2017,325.480011,327,321.529999,324.809998,324.809998,4121600
